Price,Registration,Electric_Sales,Consumption
3.774,"249,886,790",0.03622,2538
3.837,"249,886,790",0.03622,2457
3.643,"249,886,790",0.03622,2538
3.465,"249,886,790",0.03622,2457
3.379,"249,886,790",0.03622,2538
3.668,"249,886,790",0.03622,2538
3.801,"249,886,790",0.03622,2457
3.653,"249,886,790",0.03622,2538
3.38,"249,886,790",0.03622,2457
3.256,"249,886,790",0.03622,2538
3.255,"251,862,675",0.04129,2552
3.605,"251,862,675",0.04129,2305
3.648,"251,862,675",0.04129,2552
3.501,"251,862,675",0.04129,2469
3.565,"251,862,675",0.04129,2552
3.576,"251,862,675",0.04129,2469
3.515,"251,862,675",0.04129,2552
3.515,"251,862,675",0.04129,2552
3.474,"251,862,675",0.04129,2469
3.285,"251,862,675",0.04129,2552
3.186,"251,862,675",0.04129,2469
3.209,"251,862,675",0.04129,2552
3.252,"256,234,375",0.03768,2997
3.305,"256,234,375",0.03768,2707
3.474,"256,234,375",0.03768,2997
3.59,"256,234,375",0.03768,2900
3.601,"256,234,375",0.03768,2997
3.626,"256,234,375",0.03768,2900
3.539,"256,234,375",0.03768,2997
3.425,"256,234,375",0.03768,2997
3.354,"256,234,375",0.03768,2900
3.12,"256,234,375",0.03768,2997
2.875,"256,234,375",0.03768,2900
2.488,"256,234,375",0.03768,2997
2.046,"259,538,340",0.03203,3345
2.152,"259,538,340",0.03203,3022
2.352,"259,538,340",0.03203,3345
2.369,"259,538,340",0.03203,3238
2.578,"259,538,340",0.03203,3345
2.7,"259,538,340",0.03203,3238
2.666,"259,538,340",0.03203,3345
2.522,"259,538,340",0.03203,3345
2.275,"259,538,340",0.03203,3238
2.23,"259,538,340",0.03203,3345
2.088,"259,538,340",0.03203,3238
1.946,"259,538,340",0.03203,3345
1.843,"264,621,135",0.02891,3560
1.681,"264,621,135",0.02891,3330
1.895,"264,621,135",0.02891,3560
2.027,"264,621,135",0.02891,3445
2.199,"264,621,135",0.02891,3560
2.303,"264,621,135",0.02891,3445
2.157,"264,621,135",0.02891,3560
2.119,"264,621,135",0.02891,3560
2.161,"264,621,135",0.02891,3445
2.186,"264,621,135",0.02891,3560
2.105,"264,621,135",0.02891,3445
2.192,"264,621,135",0.02891,3560
2.285,"268,258,178",0.03024,4094
2.227,"268,258,178",0.03024,3698
2.243,"268,258,178",0.03024,4094
2.34,"268,258,178",0.03024,3962
2.303,"268,258,178",0.03024,4094
2.257,"268,258,178",0.03024,3962
2.211,"268,258,178",0.03024,4094
2.297,"268,258,178",0.03024,4094
2.57,"268,258,178",0.03024,3962
2.43,"268,258,178",0.03024,4094
2.474,"268,258,178",0.03024,3962
2.388,"268,258,178",0.03024,4094
2.467,"269,417,884",0.0286,4282
2.488,"269,417,884",0.0286,3867
2.488,"269,417,884",0.0286,4282
2.652,"269,417,884",0.0286,4144
2.808,"269,417,884",0.0286,4282
2.802,"269,417,884",0.0286,4144
2.77,"269,417,884",0.0286,4282
2.768,"269,417,884",0.0286,4282
2.769,"269,417,884",0.0286,4144
2.785,"269,417,884",0.0286,4282
2.561,"269,417,884",0.0286,4144
2.263,"269,417,884",0.0286,4282
